,Song 1970,Artist 1970,Song 1971,Artist 1971,Song 1972,Artist 1972,Song 1973,Artist 1973,Song 1974,Artist 1974,Song 1975,Artist 1975,Song 1976,Artist 1976,Song 1977,Artist 1977,Song 1978,Artist 1978,Song 1979,Artist 1979,Song 1980,Artist 1980,Song 1981,Artist 1981,Song 1982,Artist 1982,Song 1983,Artist 1983,Song 1984,Artist 1984,Song 1985,Artist 1985,Song 1986,Artist 1986,Song 1987,Artist 1987,Song 1988,Artist 1988,Song 1989,Artist 1989,Song 1990,Artist 1990,Song 1991,Artist 1991,Song 1992,Artist 1992,Song 1993,Artist 1993,Song 1994,Artist 1994,Song 1995,Artist 1995,Song 1996,Artist 1996,Song 1997,Artist 1997,Song 1998,Artist 1998,Song 1999,Artist 1999,Song 2000,Artist 2000,Song 2001,Artist 2001,Song 2002,Artist 2002,Song 2003,Artist 2003,Song 2004,Artist 2004,Song 2005,Artist 2005,Song 2006,Artist 2006,Song 2007,Artist 2007,Song 2008,Artist 2008,Song 2009,Artist 2009,Song 2010,Artist 2010,Song 2011,Artist 2011,Song 2012,Artist 2012,Song 2013,Artist 2013,Song 2014,Artist 2014,Song 2015,Artist 2015,Song 2016,Artist 2016,Song 2017,Artist 2017,Song 2018,Artist 2018,Song 2019,Artist 2019
53,Up Around The Bend/Run Through The Jungle,Creedence Clearwater Revival,Amazing Grace,Judy Collins,You Don't Mess Around With Jim,Jim Croce,Hocus Pocus,Focus,On And On,Gladys Knight And The Pips,Bad Time,Grand Funk,Island Girl,Elton John,Stand Tall,Burton Cummings,You Needed Me,Anne Murray,(Our Love) Don't Throw It All Away,Andy Gibb,How Do I Make You,Linda Ronstadt,Ain't Even Done With The Night,John Cougar,Blue Eyes,Elton John,MAKING LOVE OUT OF NOTHING AT ALL,Air Supply,Love Somebody,Rick Springfield,We Don't Need Another Hero (Thunderdome),Tina Turner,Perfect Way,Scritti Politti,Come Go With Me,Expose,Girlfriend,Pebbles,The Way You Love Me,Karyn White,Can't Stop,After 7,What's Left Of Me,Nick Lachey,What's Left Of Me,Nick Lachey,What's Left Of Me,Nick Lachey,What's Left Of Me,Nick Lachey,What's Left Of Me,Nick Lachey,What's Left Of Me,Nick Lachey,What's Left Of Me,Nick Lachey,What's Left Of Me,Nick Lachey,What's Left Of Me,Nick Lachey,What's Left Of Me,Nick Lachey,What's Left Of Me,Nick Lachey,What's Left Of Me,Nick Lachey,What's Left Of Me,Nick Lachey,What's Left Of Me,Nick Lachey,What's Left Of Me,Nick Lachey,What's Left Of Me,Nick Lachey,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,Crank That (Soulja Boy),Soulja Boy Tell'em,Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall,All The Right Moves,OneRepublic,Jar Of Hearts,Christina Perri,No Lie,2 Chainz Featuring Drake,Wagon Wheel,Darius Rucker,Hot Boy,Bobby Shmurda,Renegades,X Ambassadors,679,Fetty Wap Featuring Remy Boyz,Mercy,Shawn Mendes,Bodak Yellow (Money Moves),Cardi B,Be Alright,Dean Lewis
54,I Just Can't Help Believing,B.J. Thomas,Lonely Days,Bee Gees,Hot Rod Lincoln,Commander Cody & His Lost Planet Airmen,Yesterday Once More,Carpenters,Oh Very Young,Cat Stevens,Only Women Bleed,Alice Cooper,Let's Do It Again (Soundtrack),The Staple Singers,Way Down,Elvis Presley,Reminiscing,Little River Band,What You Won't Do For Love,Bobby Caldwell,Into The Night,Benny Mardones,Arthur's Theme,Christopher Cross,Our Lips Are Sealed,Go-Go's,I Won't Hold You Back,Toto,MISS ME BLIND,Culture Club,Material Girl,Madonna,Living In America,James Brown,Can't We Try,Dan Hill (Duet With Vonda Shepard),Dirty Diana,Michael Jackson,Funky Cold Medina,Tone-Loc,Janie's Got A Gun,Aerosmith,So What,Field Mob Featuring Ciara,So What,Field Mob Featuring Ciara,So What,Field Mob Featuring Ciara,So What,Field Mob Featuring Ciara,So What,Field Mob Featuring Ciara,So What,Field Mob Featuring Ciara,So What,Field Mob Featuring Ciara,So What,Field Mob Featuring Ciara,So What,Field Mob Featuring Ciara,So What,Field Mob Featuring Ciara,So What,Field Mob Featuring Ciara,So What,Field Mob Featuring Ciara,So What,Field Mob Featuring Ciara,So What,Field Mob Featuring Ciara,So What,Field Mob Featuring Ciara,So What,Field Mob Featuring Ciara,It Ends Tonight,The All-American Rejects,Shadow Of The Day,Linkin Park,Viva La Vida,Coldplay,According To You,Orianthi,Roll Up,Wiz Khalifa,Want U Back,Cher Lloyd,Gangnam Style,PSY,"Hold On, We're Going Home",Drake Featuring Majid Jordan,I Don't Mind,Usher Featuring Juicy J,Oui,Jeremih,Tunnel Vision,Kodak Black,Freaky Friday,Lil Dicky Featuring Chris Brown,Pure Water,Mustard & Migos
55,Mississippi Queen,Mountain,Trapped By A Thing Called Love,Denise LaSalle,Joy,Apollo 100,Boogie Woogie Bugle Boy,Bette Midler,Leave Me Alone (ruby Red Dress),Helen Reddy,Doctor's Orders,Carol Douglas,This Masquerade,George Benson,Weekend In New England,Barry Manilow,Count On Me,Jefferson Starship,New York Groove,Ace Frehley,Let Me Love You Tonight,Pure Prairie League,Another One Bites The Dust,Queen,You Could Have Been With Me,Sheena Easton,All Right,Christopher Cross,If This Is It,Huey Lewis & The News,Better Be Good To Me,Tina Turner,Word Up,Cameo,To Be A Lover,Billy Idol,Mercedes Boy,Pebbles,Miss You Like Crazy,Natalie Cole,The Humpty Dance,Digital Underground,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,A Bay Bay,Hurricane Chris,Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia",Right Now (Na Na Na),Akon,My Chick Bad,Ludacris Featuring Nicki Minaj,Sexy And I Know It,LMFAO,Don't Wake Me Up,Chris Brown,I Need Your Love,Calvin Harris Featuring Ellie Goulding,Sing,Ed Sheeran,Love Me Harder,Ariana Grande & The Weeknd,Hands To Myself,Selena Gomez,Rockstar,Post Malone Featuring 21 Savage,Gummo,6ix9ine,The Git Up,Blanco Brown
56,I Want To Take You Higher,Ike & Tina Turner & The Ikettes,Mama's Pearl,Jackson 5,Anticipation,Carly Simon,Clair,Gilbert O'Sullivan,Goodbye Yellow Brick Road,Elton John,One Man Woman/One Woman Man,Paul Anka with Odia Coates,Evil Woman,Electric Light Orchestra,It Was Almost Like A Song,Ronnie Milsap,Baby Hold On,Eddie Money,Sultans Of Swing,Dire Straits,Misunderstanding,Genesis,Games People Play,The Alan Parsons Project,You Can Do Magic,America,Straight From The Heart,Bryan Adams,You Might Think,The Cars,Head Over Heels,Tears For Fears,Why Can't This Be Love,Van Halen,Mandolin Rain,Bruce Hornsby & The Range,Perfect World,Huey Lewis & The News,Love Song,The Cure,I'll Be Your Shelter,Taylor Dayne,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry Tree,KT Tunstall,Because Of You,Ne-Yo,Miss Independent,Ne-Yo,Battlefield,Jordin Sparks,You Belong With Me,Taylor Swift,Rocketeer,Far*East Movement Featuring Ryan Tedder,Dance (A$$),Big Sean Featuring Nicki Minaj,Die Young,Ke$ha,Radioactive,Imagine Dragons,Wildest Dreams,Taylor Swift,2 Phones,Kevin Gates,In Case You Didn't Know,Brett Young,Plug Walk,Rich The Kid,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
57,Yellow River,Christie,I Woke Up In Love This Morning,The Partridge Family,Never Been To Spain,Three Dog Night,Do It Again,Steely Dan,Oh My My,Ringo Starr,Feel Like Makin' Love,Bad Company,Wham Bam,Silver,Cold As Ice,Foreigner,Hey Deanie,Shaun Cassidy,I Want Your Love,Chic,An American Dream,The Dirt Band,While You See A Chance,Steve Winwood,I Ran,A Flock Of Seagulls,Heart To Heart,Kenny Loggins,Lucky Star,Madonna,Axel F,Harold Faltermeyer,Typical Male,Tina Turner,Breakout,Swing Out Sister,New Sensation,INXS,Secret Rendezvous,Karyn White,Free Fallin',Tom Petty,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song),Juelz Santana,I Tried,Bone Thugs-N-Harmony Featuring Akon,Fall For You,Secondhand Serenade,Sugar,Flo Rida Featuring Wynter,Meet Me Halfway,The Black Eyed Peas,All Of The Lights,Kanye West,Springsteen,Eric Church,Some Nights,fun.,My Hitta,YG Featuring Jeezy & Rich Homie Quan,Stay With Me,Sam Smith,Starboy,The Weeknd Featuring Daft Punk,Heathens,twenty one pilots,Wait,Maroon 5,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
58,Somebody's Been Sleeping,100 Proof Aged in Soul,If I Were Your Woman,Gladys Knight And The Pips,School's Out,Alice Cooper,Kodachrome,Paul Simon,For The Love Of Money,The O'Jays,How Sweet It Is (To Be Loved By You),James Taylor,I'm Easy,Keith Carradine,Ariel,Dean Friedman,Summer Nights,John Travolta & Olivia Newton-John,Ain't No Stoppin' Us Now,McFadden & Whitehead,One Fine Day,Carole King,Master Blaster,Stevie Wonder,Somebody's Baby,Jackson Browne,My Love,Lionel Richie,Cover Me,Bruce Springsteen,Smooth Operator,Sade,Tarzan Boy,Baltimora,Stand By Me,Ben E. King,Catch Me (I'm Falling),Pretty Poison,Angel Eyes,The Jeff Healey Band,Giving You The Benefit,Pebbles,Shoulder Lean,Young Dro Featuring T.I.,Shoulder Lean,Young Dro Featuring T.I.,Shoulder Lean,Young Dro Featuring T.I.,Shoulder Lean,Young Dro Featuring T.I.,Shoulder Lean,Young Dro Featuring T.I.,Shoulder Lean,Young Dro Featuring T.I.,Shoulder Lean,Young Dro Featuring T.I.,Shoulder Lean,Young Dro Featuring T.I.,Shoulder Lean,Young Dro Featuring T.I.,Shoulder Lean,Young Dro Featuring T.I.,Shoulder Lean,Young Dro Featuring T.I.,Shoulder Lean,Young Dro Featuring T.I.,Shoulder Lean,Young Dro Featuring T.I.,Shoulder Lean,Young Dro Featuring T.I.,Shoulder Lean,Young Dro Featuring T.I.,Shoulder Lean,Young Dro Featuring T.I.,Welcome To The Black Parade,My Chemical Romance,In The Ayer,Flo Rida Featuring will.i.am,Miss Independent,Ne-Yo,Take It Off,Ke$ha,Hold It Against Me,Britney Spears,Brokenhearted,Karmin,Bad,Wale Featuring Tiara Thomas Or Rihanna,Cool Kids,Echosmith,You Know You Like It,DJ Snake & AlunaGeorge,For Free,DJ Khaled Featuring Drake,Now Or Never,Halsey,Be Careful,Cardi B,Envy Me,Calboy
59,Lay A Little Lovin' On Me,Robin McNamara,Wedding Song (There Is Love),Paul Stookey,Saturday In The Park,Chicago,Why Can't We Live Together,Timmy Thomas,I Shot The Sheriff,Eric Clapton,Dance With Me,Orleans,Wake Up Everybody (Part 1),Harold Melvin And The Blue Notes,Lost Without Your Love,Bread,What's Your Name,Lynyrd Skynyrd,Lonesome Loser,Little River Band,DIM ALL THE LIGHTS,Donna Summer,Hello Again,Neil Diamond,Oh No,Commodores,I'm Still Standing,Elton John,Cum On Feel The Noize,Quiet Riot,In My House,Mary Jane Girls,True Blue,Madonna,"Tonight, Tonight, Tonight",Genesis,If It Isn't Love,New Edition,Patience,Guns N' Roses,Enjoy The Silence,Depeche Mode,Unpredictable,Jamie Foxx Featuring Ludacris,Unpredictable,Jamie Foxx Featuring Ludacris,Unpredictable,Jamie Foxx Featuring Ludacris,Unpredictable,Jamie Foxx Featuring Ludacris,Unpredictable,Jamie Foxx Featuring Ludacris,Unpredictable,Jamie Foxx Featuring Ludacris,Unpredictable,Jamie Foxx Featuring Ludacris,Unpredictable,Jamie Foxx Featuring Ludacris,Unpredictable,Jamie Foxx Featuring Ludacris,Unpredictable,Jamie Foxx Featuring Ludacris,Unpredictable,Jamie Foxx Featuring Ludacris,Unpredictable,Jamie Foxx Featuring Ludacris,Unpredictable,Jamie Foxx Featuring Ludacris,Unpredictable,Jamie Foxx Featuring Ludacris,Unpredictable,Jamie Foxx Featuring Ludacris,Unpredictable,Jamie Foxx Featuring Ludacris,Shawty,Plies Featuring T-Pain,Say,John Mayer,Fireflies,Owl City,Over,Drake,More,Usher,Not Over You,Gavin DeGraw,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,Hey Brother,Avicii,Uma Thurman,Fall Out Boy,Never Be Like You,Flume Featuring Kai,Caroline,Amine,Wolves,Selena Gomez X Marshmello,You Say,Lauren Daigle
60,Up The Ladder To The Roof,The Supremes,Here Comes The Sun,Richie Havens,Drowning In The Sea Of Love,Joe Simon,So Very Hard To Go,Tower Of Power,Jet,Paul McCartney And Wings,Cut The Cake,Average White Band,Summer,War,Theme From Star Wars,Meco,Don't It Make My Brown Eyes Blue,Crystal Gayle,Renegade,Styx,You May Be Right,Billy Joel,Don't Stand So Close To Me,The Police,Take It Away,Paul McCartney,Hot Girls In Love,Loverboy,Breakdance,Irene Cara,Don't Lose My Number,Phil Collins,Rumors,Timex Social Club,Someday,Glass Tiger,Rocket 2 U,The Jets,Walk On Water,Eddie Money,Love Song,Tesla,My Love,Justin Timberlake Featuring T.I.,My Love,Justin Timberlake Featuring T.I.,My Love,Justin Timberlake Featuring T.I.,My Love,Justin Timberlake Featuring T.I.,My Love,Justin Timberlake Featuring T.I.,My Love,Justin Timberlake Featuring T.I.,My Love,Justin Timberlake Featuring T.I.,My Love,Justin Timberlake Featuring T.I.,My Love,Justin Timberlake Featuring T.I.,My Love,Justin Timberlake Featuring T.I.,My Love,Justin Timberlake Featuring T.I.,My Love,Justin Timberlake Featuring T.I.,My Love,Justin Timberlake Featuring T.I.,My Love,Justin Timberlake Featuring T.I.,My Love,Justin Timberlake Featuring T.I.,My Love,Justin Timberlake Featuring T.I.,Chasing Cars,Snow Patrol,One Step At A Time,Jordin Sparks,New Divide,Linkin Park,Animal,Neon Trees,What The Hell,Avril Lavigne,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,"Gone, Gone, Gone",Phillip Phillips,Trumpets,Jason Derulo,7/11,Beyonce,In The Night,The Weeknd,Rolex,Ayo & Teo,Bartier Cardi,Cardi B Featuring 21 Savage,"Hey Look Ma, I Made It",Panic! At The Disco
61,Travelin' Band/Who'll Stop The Rain,Creedence Clearwater Revival,Sweet Mary,Wadsworth Mansion,Use Me,Bill Withers,Masterpiece,The Temptations,Don't Let The Sun Go Down On Me,Elton John,Never Can Say Goodbye,Gloria Gaynor,Let Her In,John Travolta,Float On,The Floaters,Every Kinda People,Robert Palmer,LOVE IS THE ANSWER,England Dan & John Ford Coley,Should've Never Let You Go,Neil Sedaka & Dara Sedaka,Hey Nineteen,Steely Dan,It's Gonna Take A Miracle,Deniece Williams,It's A Mistake,Men At Work,They Don't Know,Tracey Ullman,All Through The Night,Cyndi Lauper,Life In A Northern Town,The Dream Academy,When Smokey Sings,ABC,One Good Woman,Peter Cetera,Cover Girl,New Kids On The Block,Price Of Love,Bad English,Shake That,Eminem Featuring Nate Dogg,Shake That,Eminem Featuring Nate Dogg,Shake That,Eminem Featuring Nate Dogg,Shake That,Eminem Featuring Nate Dogg,Shake That,Eminem Featuring Nate Dogg,Shake That,Eminem Featuring Nate Dogg,Shake That,Eminem Featuring Nate Dogg,Shake That,Eminem Featuring Nate Dogg,Shake That,Eminem Featuring Nate Dogg,Shake That,Eminem Featuring Nate Dogg,Shake That,Eminem Featuring Nate Dogg,Shake That,Eminem Featuring Nate Dogg,Shake That,Eminem Featuring Nate Dogg,Shake That,Eminem Featuring Nate Dogg,Shake That,Eminem Featuring Nate Dogg,Shake That,Eminem Featuring Nate Dogg,Beautiful Liar,Beyonce & Shakira,Hate That I Love You,Rihanna Featuring Ne-Yo,Empire State Of Mind,Jay-Z + Alicia Keys,Misery,Maroon 5,Written In The Stars,Tinie Tempah Featuring Eric Turner,Back In Time,Pitbull,Demons,Imagine Dragons,Animals,Maroon 5,The Heart Wants What It Wants,Selena Gomez,Me Too,Meghan Trainor,DNA.,Kendrick Lamar,God Is A Woman,Ariana Grande,Circles,Post Malone
62,Psychedelic Shack,The Temptations,Right On The Tip Of My Tongue,Brenda & The Tabulations,Family Affair,Sly & The Family Stone,Peaceful,Helen Reddy,Tubular Bells,Mike Oldfield,I Don't Like To Sleep Alone,Paul Anka,Fox On The Run,Sweet,Jeans On,David Dundas,Copacabana,Barry Manilow,Got To Be Real,Cheryl Lynn,Pilot Of The Airwaves,Charlie Dore,I Ain't Gonna Stand For It,Stevie Wonder,Love Will Turn You Around,Kenny Rogers,I'll Tumble 4 Ya,Culture Club,An Innocent Man,Billy Joel,Run To You,Bryan Adams,Bad Boy,Miami Sound Machine,Casanova,Levert,Don't Be Cruel,Cheap Trick,Welcome To The Jungle,Guns N' Roses,Girls Nite Out,Tyler Collins,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me Back,Chingy Featuring Tyrese,SexyBack,Justin Timberlake,Superstar,Lupe Fiasco Featuring Matthew Santos,No Surprise,Daughtry,Magic,B.o.B Featuring Rivers Cuomo,Bottoms Up,Trey Songz Featuring Nicki Minaj,Work Out,J. Cole,Counting Stars,OneRepublic,Burnin' It Down,Jason Aldean,Girl Crush,Little Big Town,Ex's & Oh's,Elle King,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Beer Never Broke My Heart,Luke Combs
63,Without Love (There Is Nothing),Tom Jones,Riders On The Storm,The Doors,Power Of Love,Joe Simon,One Of A Kind (Love Affair),Spinners,Love Song,Anne Murray,Morning Side Of The Mountain,Donny & Marie Osmond,Rhiannon (will You Ever Win),Fleetwood Mac,Lido Shuffle,Boz Scaggs,You And I,Rick James,Born To Be Alive,Patrick Hernandez,Hurt So Bad,Linda Ronstadt,All Those Years Ago,George Harrison,Don't Stop Believin',Journey,All This Love,Debarge,Cruel Summer,Bananarama,Glory Days,Bruce Springsteen,Sleeping Bag,ZZ Top,Rhythm Is Gonna Get You,Gloria Estefan & Miami Sound Machine,CANDLE IN THE WIND,Elton John,Shower Me With Your Love,Surface,What Kind Of Man Would I Be?,Chicago,Bossy,Kelis Featuring Too $hort,Bossy,Kelis Featuring Too $hort,Bossy,Kelis Featuring Too $hort,Bossy,Kelis Featuring Too $hort,Bossy,Kelis Featuring Too $hort,Bossy,Kelis Featuring Too $hort,Bossy,Kelis Featuring Too $hort,Bossy,Kelis Featuring Too $hort,Bossy,Kelis Featuring Too $hort,Bossy,Kelis Featuring Too $hort,Bossy,Kelis Featuring Too $hort,Bossy,Kelis Featuring Too $hort,Bossy,Kelis Featuring Too $hort,Bossy,Kelis Featuring Too $hort,Bossy,Kelis Featuring Too $hort,Bossy,Kelis Featuring Too $hort,Keep Holding On,Avril Lavigne,Suffocate,J. Holiday,She Wolf,Shakira,Paparazzi,Lady Gaga,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,Rumour Has It,Adele,I Cry,Flo Rida,Play It Again,Luke Bryan,Slow Motion,Trey Songz,Die A Happy Man,Thomas Rhett,Swang,Rae Sremmurd,Sorry Not Sorry,Demi Lovato,The London,"Young Thug, J. Cole & Travis Scott"
64,Woodstock,"Crosby, Stills, Nash & Young",It's Impossible,Perry Como,Ain't Understanding Mellow,Jerry Butler & Brenda Lee Eager,Funny Face,Donna Fargo,Hello It's Me,Todd Rundgren,"Get Down, Get Down (Get On The Floor)",Joe Simon,Got To Get You Into My Life,The Beatles,You Made Me Believe In Magic,Bay City Rollers,Serpentine Fire,"Earth, Wind & Fire",Shine A Little Love,Electric Light Orchestra,Off The Wall,Michael Jackson,Step By Step,Eddie Rabbitt,Comin' In And Out Of Your Life,Barbra Streisand,Your Love Is Driving Me Crazy,Sammy Hagar,Dance Hall Days,Wang Chung,Misled,Kool & The Gang,Tonight She Comes,The Cars,Rock Steady,The Whispers,Say You Will,Foreigner,Stand,R.E.M.,I Remember You,Skid Row,Chain Hang Low,Jibbs,Chain Hang Low,Jibbs,Chain Hang Low,Jibbs,Chain Hang Low,Jibbs,Chain Hang Low,Jibbs,Chain Hang Low,Jibbs,Chain Hang Low,Jibbs,Chain Hang Low,Jibbs,Chain Hang Low,Jibbs,Chain Hang Low,Jibbs,Chain Hang Low,Jibbs,Chain Hang Low,Jibbs,Chain Hang Low,Jibbs,Chain Hang Low,Jibbs,Chain Hang Low,Jibbs,Chain Hang Low,Jibbs,Let It Go,Keyshia Cole Featuring Missy Elliott & Lil Kim,Let It Rock,Kevin Rudolf Featuring Lil Wayne,Break Up,Mario Featuring Gucci Mane & Sean Garrett,Tie Me Down,New Boyz Featuring Ray J,For The First Time,The Script,Let's Go,Calvin Harris Featuring Ne-Yo,Little Talks,Of Monsters And Men,2 On,Tinashe Featuring ScHoolboy Q,Drag Me Down,One Direction,White Iverson,Post Malone,Passionfruit,Drake,How Long,Charlie Puth,Con Calma,Daddy Yankee & Katy Perry Featuring Snow
65,I'll Never Fall In Love Again,Dionne Warwick,Song,Song,Taxi,Harry Chapin,Funky Worm,Ohio Players,I Love,Tom T. Hall,Killer Queen,Queen,Fanny (Be Tender With My Love),Bee Gees,Livin' Thing,Electric Light Orchestra,Sentimental Lady,Bob Welch,I Just Fall In Love Again,Anne Murray,I Pledge My Love,Peaches & Herb,THE STROKE,Billy Squier,Gloria,Laura Branigan,Heartbreaker,Dionne Warwick,I'm So Excited,The Pointer Sisters,Would I Lie To You?,Eurythmics,A Love Bizarre,Sheila E.,Wanted Dead Or Alive,Bon Jovi,I Want Her,Keith Sweat,Close My Eyes Forever,Lita Ford (Duet With Ozzy Osbourne),Get Up! (Before The Night Is Over),Technotronic,Smack That,Akon Featuring Eminem,Smack That,Akon Featuring Eminem,Smack That,Akon Featuring Eminem,Smack That,Akon Featuring Eminem,Smack That,Akon Featuring Eminem,Smack That,Akon Featuring Eminem,Smack That,Akon Featuring Eminem,Smack That,Akon Featuring Eminem,Smack That,Akon Featuring Eminem,Smack That,Akon Featuring Eminem,Smack That,Akon Featuring Eminem,Smack That,Akon Featuring Eminem,Smack That,Akon Featuring Eminem,Smack That,Akon Featuring Eminem,Smack That,Akon Featuring Eminem,Smack That,Akon Featuring Eminem,Apologize,Timbaland Featuring OneRepublic,Get Like Me,David Banner Featuring Chris Brown,Sweet Dreams,Beyonce,Your Love,Nicki Minaj,Honey Bee,Blake Shelton,Good Girl,Carrie Underwood,The Other Side,Jason Derulo,Dirt,Florida Georgia Line,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,Close,Nick Jonas Featuring Tove Lo,Loyalty.,Kendrick Lamar Featuring Rihanna,Lights Down Low,MAX Featuring gnash,Murder On My Mind,YNW Melly
66,The Thrill Is Gone,B.B. King,Song,Song,Sealed With A Kiss,Bobby Vinton,ANGIE,The Rolling Stones,Clap For The Wolfman,The Guess Who,Shoeshine Boy,Eddie Kendricks,Getaway,"Earth, Wind & Fire",Give A Little Bit,Supertramp,Falling,Le Blanc & Carr,Shake It,Ian Matthews,The Long Run,Eagles,Feels So Right,Alabama,Empty Garden,Elton John,Faithfully,Journey,I Still Can't Get Over Loving You,Ray Parker Jr.,Be Near Me,ABC,Throwing It All Away,Genesis,Big Time,Peter Gabriel,Pink Cadillac,Natalie Cole,All This Time,Tiffany,Here We Are,Gloria Estefan,One Wish,Ray J,One Wish,Ray J,One Wish,Ray J,One Wish,Ray J,One Wish,Ray J,One Wish,Ray J,One Wish,Ray J,One Wish,Ray J,One Wish,Ray J,One Wish,Ray J,One Wish,Ray J,One Wish,Ray J,One Wish,Ray J,One Wish,Ray J,One Wish,Ray J,One Wish,Ray J,Bubbly,Colbie Caillat,Realize,Colbie Caillat,Every Girl,Young Money,Party In The U.S.A.,Miley Cyrus,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,Pontoon,Little Big Town,Berzerk,Eminem,Love Runs Out,OneRepublic,One Last Time,Ariana Grande,Unsteady,X Ambassadors,Praying,Kesha,Young Dumb & Broke,Khalid,When The Party's Over,Billie Eilish
